ecosystem,component_name,component_version,purl,vulnerability_id,cve,vulnerability_description,is_vulnerable
maven,org.yaml:snakeyaml,1.29,pkg:maven/org.yaml/snakeyaml@1.29,GHSA-hhhw-99gj-p3c3,CVE-2022-38750,snakeYAML before 1.31 vulnerable to Denial of Service due to Out-of-bounds Write,True
maven,org.yaml:snakeyaml,1.29,pkg:maven/org.yaml/snakeyaml@1.29,GHSA-mjmj-j48q-9wg2,CVE-2022-1471,SnakeYaml Constructor Deserialization Remote Code Execution,True
maven,org.yaml:snakeyaml,1.29,pkg:maven/org.yaml/snakeyaml@1.29,GHSA-w37g-rhq8-7m4j,CVE-2022-41854,Snakeyaml vulnerable to Stack overflow leading to denial of service,True
maven,org.apache.velocity:velocity,1.6.3,pkg:maven/org.apache.velocity/velocity@1.6.3,GHSA-59j4-wjwp-mw9m,CVE-2020-13936,Sandbox Bypass in Apache Velocity Engine,True
maven,org.postgresql:postgresql,42.7.5,pkg:maven/org.postgresql/postgresql@42.7.5,GHSA-hq9p-pm7w-8p54,CVE-2025-49146,pgjdbc Client Allows Fallback to Insecure Authentication Despite channelBinding=require Configuration,True
maven,ch.qos.logback:logback-core,1.5.16,pkg:maven/ch.qos.logback/logback-core@1.5.16,GHSA-25qh-j22f-pwp8,CVE-2025-11226,QOS.CH logback-core is vulnerable to Arbitrary Code Execution through file processing,True
maven,ch.qos.logback:logback-core,1.5.16,pkg:maven/ch.qos.logback/logback-core@1.5.16,GHSA-qqpg-mvqg-649v,,Logback allows an attacker to instantiate classes already present on the class path,True
maven,org.yaml:snakeyaml,1.30,pkg:maven/org.yaml/snakeyaml@1.30,GHSA-3mc7-4q67-w48m,CVE-2022-25857,Uncontrolled Resource Consumption in snakeyaml,True
maven,org.yaml:snakeyaml,1.30,pkg:maven/org.yaml/snakeyaml@1.30,GHSA-98wm-3w3q-mw94,CVE-2022-38751,snakeYAML before 1.31 vulnerable to Denial of Service due to Out-of-bounds Write,True
maven,org.yaml:snakeyaml,1.30,pkg:maven/org.yaml/snakeyaml@1.30,GHSA-9w3m-gqgf-c4p9,CVE-2022-38752,snakeYAML before 1.32 vulnerable to Denial of Service due to Out-of-bounds Write,True
maven,org.yaml:snakeyaml,1.30,pkg:maven/org.yaml/snakeyaml@1.30,GHSA-c4r9-r8fh-9vj2,CVE-2022-38749,snakeYAML before 1.31 vulnerable to Denial of Service due to Out-of-bounds Write,True
maven,org.yaml:snakeyaml,1.30,pkg:maven/org.yaml/snakeyaml@1.30,GHSA-hhhw-99gj-p3c3,CVE-2022-38750,snakeYAML before 1.31 vulnerable to Denial of Service due to Out-of-bounds Write,True
maven,org.yaml:snakeyaml,1.30,pkg:maven/org.yaml/snakeyaml@1.30,GHSA-mjmj-j48q-9wg2,CVE-2022-1471,SnakeYaml Constructor Deserialization Remote Code Execution,True
maven,org.yaml:snakeyaml,1.30,pkg:maven/org.yaml/snakeyaml@1.30,GHSA-w37g-rhq8-7m4j,CVE-2022-41854,Snakeyaml vulnerable to Stack overflow leading to denial of service,True
maven,org.apache.zookeeper:zookeeper,3.7.2,pkg:maven/org.apache.zookeeper/zookeeper@3.7.2,GHSA-r978-9m6m-6gm6,CVE-2024-23944,Apache ZooKeeper vulnerable to information disclosure in persistent watchers handling,True
maven,com.google.guava:guava,14.0,pkg:maven/com.google.guava/guava@14.0,GHSA-5mg8-w23w-74h3,CVE-2020-8908,Information Disclosure in Guava,True
maven,com.google.guava:guava,14.0,pkg:maven/com.google.guava/guava@14.0,GHSA-7g45-4rm6-3mm3,CVE-2023-2976,Guava vulnerable to insecure use of temporary directory,True
maven,com.google.guava:guava,14.0,pkg:maven/com.google.guava/guava@14.0,GHSA-mvr2-9pj6-7w5j,CVE-2018-10237,Denial of Service in Google Guava,True
maven,org.apache.commons:commons-compress,1.24.0,pkg:maven/org.apache.commons/commons-compress@1.24.0,GHSA-4265-ccf5-phj5,CVE-2024-26308,Apache Commons Compress: OutOfMemoryError unpacking broken Pack200 file,True
maven,org.apache.commons:commons-compress,1.24.0,pkg:maven/org.apache.commons/commons-compress@1.24.0,GHSA-4g9r-vxhx-9pgx,CVE-2024-25710,Apache Commons Compress: Denial of service caused by an infinite loop for a corrupted DUMP file,True
maven,junit:junit,4.9,pkg:maven/junit/junit@4.9,GHSA-269g-pwp5-87pp,CVE-2020-15250,TemporaryFolder on unix-like systems does not limit access to created files,True
maven,org.apache.httpcomponents:httpclient,4.5.11,pkg:maven/org.apache.httpcomponents/httpclient@4.5.11,GHSA-7r82-7xv7-xcpj,CVE-2020-13956,Cross-site scripting in Apache HttpClient,True
maven,org.yaml:snakeyaml,1.31,pkg:maven/org.yaml/snakeyaml@1.31,GHSA-9w3m-gqgf-c4p9,CVE-2022-38752,snakeYAML before 1.32 vulnerable to Denial of Service due to Out-of-bounds Write,True
